edad,mx
15,0.00043
16,0.00046
17,0.00049
18,0.00053
19,0.00058
20,0.00063
21,0.00069
22,0.00076
23,0.00083
24,0.0009
25,0.00097
26,0.001061
27,0.001141
28,0.001231
29,0.001321
30,0.001411
31,0.001511
32,0.001611
33,0.001721
34,0.001832
35,0.001942
36,0.002062
37,0.002192
38,0.002323
39,0.002463
40,0.002613
41,0.002764
42,0.002934
43,0.003115
44,0.003305
45,0.003516
46,0.003747
47,0.003998
48,0.004269
49,0.00457
50,0.004902
51,0.005264
52,0.005666
53,0.006109
54,0.006602
55,0.007145
56,0.00775
57,0.008425
58,0.009162
59,0.00999
60,0.010909
61,0.011931
62,0.013065
63,0.014322
64,0.015723
65,0.017278
66,0.019009
67,0.020927
68,0.023053
69,0.025419
70,0.028038
71,0.030952
72,0.034184
73,0.03777
74,0.041733
75,0.04613
76,0.050998
77,0.056386
78,0.062345
79,0.068937
80,0.076207
81,0.084234
82,0.09309
83,0.102839
84,0.113573
85,0.125274
86,0.138008
87,0.151857
88,0.166882
89,0.183168
90,0.200789
91,0.21983
92,0.240357
93,0.262456
94,0.286211
95,0.311685
96,0.338949
97,0.368069
98,0.399132
99,0.432143
100,0.467167
101,0.504246
102,0.543364
103,0.584534
104,0.627703
105,0.672762
106,0.719676
107,0.768633
108,0.817947
109,0.873819
110,1
