edad,mx
18,0.005744
19,0.006462
20,0.00711
21,0.007863
22,0.008546
23,0.008914
24,0.009036
25,0.008476
26,0.00809
27,0.007863
28,0.007775
29,0.00781
30,0.007915
31,0.008108
32,0.008353
33,0.008616
34,0.008896
35,0.009159
36,0.009386
37,0.009649
38,0.009982
39,0.01042
40,0.010997
41,0.01175
42,0.012696
43,0.013887
44,0.01534
45,0.017039
46,0.017741
47,0.018428
48,0.019101
49,0.019757
50,0.020395
51,0.021016
52,0.021621
53,0.02221
54,0.022791
55,0.023369
56,0.023953
57,0.024557
58,0.02519
59,0.025868
60,0.026604
61,0.027414
62,0.028312
63,0.029314
64,0.030433
65,0.031685
66,0.033081
67,0.034633
68,0.036353
69,0.038253
70,0.040346
71,0.042647
72,0.04517
73,0.047935
74,0.050965
75,0.054287
76,0.057934
77,0.061945
78,0.066363
79,0.071235
80,0.076616
81,0.082562
82,0.089136
83,0.096405
84,0.104436
85,0.113303
86,0.123081
87,0.13385
88,0.145697
89,0.158714
90,0.173005
91,0.187464
92,0.2021
93,0.216924
94,0.231944
95,0.247169
96,0.26261
97,0.278276
98,0.294176
99,0.31032
100,0.326717
101,0.343376
102,0.360308
103,0.377522
104,0.395026
105,0.412831
106,0.430946
107,0.448227
108,0.464592
109,0.479987
110,0.494376
111,1
112,1
113,1
