HP	MPG	MPGF	VOL	WT	SP
49	65.4	53.7006814	89	17.5	96
55	56	50.0134012	92	20	97
55	55.9	50.0134012	92	20	97
70	49	45.6963224	92	20	105
53	46.5	50.5042318	92	20	96
70	46.2	45.6963224	89	20	105
55	45.4	50.0134012	92	20	97
62	59.2	46.7165543	50	22.5	98
62	53.3	46.7165543	50	22.5	98
80	43.4	42.2990782	94	22.5	107
73	41.1	44.6528342	89	22.5	103
92	40.9	39.3540941	50	22.5	113
92	40.9	39.3540941	99	22.5	113
73	40.4	44.6528342	89	22.5	103
66	39.6	45.7348929	89	22.5	100
73	39.3	44.6528342	89	22.5	103
78	38.9	42.7899089	91	22.5	106
92	38.8	39.3540941	50	22.5	113
78	38.2	42.7899089	91	22.5	106
90	42.2	38.901834	103	25	109
92	40.9	38.4110033	99	25	110
74	40.7	42.8284794	107	25	101
95	40	38.310606	101	25	111
81	39.3	40.4747233	96	25	105
95	38.8	38.310606	89	25	111
92	38.4	38.4110033	50	25	110
92	38.4	38.4110033	117	25	110
92	38.4	38.4110033	99	25	110
52	46.9	43.4694339	104	27.5	90
103	36.3	35.4041924	107	27.5	112
84	36.1	39.4312352	114	27.5	103
84	36.1	39.4312352	101	27.5	103
102	35.4	36.2854565	97	27.5	111
102	35.3	36.2854565	113	27.5	111
81	35.1	39.5316325	101	27.5	102
90	35.1	37.9587432	98	27.5	106
90	35	37.9587432	88	27.5	106
102	33.2	34.0706683	86	30	109
102	32.9	34.0706683	86	30	109
130	32.3	31.0141309	92	30	120
95	32.2	35.152727	113	30	106
95	32.2	35.152727	106	30	106
102	32.2	34.0706683	92	30	109
95	32.2	35.152727	88	30	106
93	31.5	35.6435576	102	30	105
100	31.5	34.561499	99	30	108
100	31.4	34.561499	111	30	108
98	31.4	35.0523296	103	30	107
130	31.2	31.0141309	86	30	120
115	33.7	29.629936	101	35	109
115	32.6	29.629936	101	35	109
115	31.3	29.629936	101	35	109
115	31.3	29.629936	124	35	109
180	30.4	24.4873667	113	35	133
160	28.9	26.8522787	113	35	125
130	28	27.8562519	124	35	115
96	28	31.1135839	92	35	102
115	28	29.629936	101	35	109
100	28	30.1319226	94	35	104
100	28	28.8602252	115	35	105
145	27.7	27.3542653	111	35	120
120	25.6	24.6091316	116	40	107
140	25.3	23.5159169	131	40	114
140	23.9	23.5159169	123	40	114
150	23.6	23.6051583	121	40	117
165	23.6	23.1031717	50	40	122
165	23.6	23.1031717	114	40	122
165	23.6	23.1031717	127	40	122
165	23.6	23.1031717	123	40	122
245	23.5	21.2737079	112	40	148
280	23.4	19.6785067	50	40	160
162	23.4	23.203569	135	40	121
162	23.1	23.203569	132	40	121
140	22.9	19.0863405	160	45	110
140	22.9	19.0863405	129	45	110
175	19.5	18.7628367	129	45	121
322	18.1	20.2018546	50	45	165
238	17.2	19.1978876	115	45	140
263	17	20.0568397	50	45	147
295	16.7	19.8337332	119	45	157
236	13.2	12.1012629	107	55	130
