ate	time	Close
1/3/1995	1	23.47
1/9/1995	2	20.54
1/16/1995	3	22.74
1/23/1995	4	27.88
1/30/1995	5	27.39
2/6/1995	6	27.63
2/13/1995	7	24.94
2/21/1995	8	27.63
2/27/1995	9	28.61
3/6/1995	10	28.85
3/13/1995	11	32.03
3/20/1995	12	31.79
3/27/1995	13	32.03
4/3/1995	14	29.34
4/10/1995	15	26.29
4/17/1995	16	25.67
4/24/1995	17	25.67
5/1/1995	18	24.82
5/8/1995	19	28.98
5/15/1995	20	26.47
5/22/1995	21	25.19
5/30/1995	22	27.39
6/5/1995	23	33.07
6/12/1995	24	33.25
6/19/1995	25	33.01
6/26/1995	26	33.8
7/3/1995	27	36.68
7/10/1995	28	38.02
7/17/1995	29	40.83
7/24/1995	30	41.69
7/31/1995	31	43.28
8/7/1995	32	44.75
8/14/1995	33	50.86
8/21/1995	34	49.03
8/28/1995	35	48.78
9/5/1995	36	49.39
9/11/1995	37	46.58
9/18/1995	38	45.97
9/25/1995	39	44.87
10/2/1995	40	39.61
10/9/1995	41	39.61
10/16/1995	42	36.43
10/23/1995	43	39.61
10/30/1995	44	42.06
11/6/1995	45	46.34
11/13/1995	46	44.5
11/20/1995	47	41.2
11/27/1995	48	40.1
12/4/1995	49	40.71
12/11/1995	50	36.56
12/18/1995	51	43.52
12/26/1995	52	42.06
1/2/1996	53	40.59
1/8/1996	54	37.17
1/15/1996	55	42.06
1/22/1996	56	43.04
1/29/1996	57	46.7
2/5/1996	58	47.56
2/12/1996	59	46.34
2/20/1996	60	41.57
2/26/1996	61	39.12
3/4/1996	62	35.82
3/11/1996	63	36.68
3/18/1996	64	38.39
3/25/1996	65	40.59
4/1/1996	66	39.73
4/8/1996	67	38.94
4/15/1996	68	32.28
4/22/1996	69	39.49
4/29/1996	70	37.78
5/6/1996	71	41.69
5/13/1996	72	49.15
5/20/1996	73	48.29
5/28/1996	74	53.24
6/3/1996	75	50.98
6/10/1996	76	47.19
6/17/1996	77	51.96
6/24/1996	78	51.96
7/1/1996	79	48.66
7/8/1996	80	42.79
7/15/1996	81	37.9
7/22/1996	82	42.42
7/29/1996	83	45.36
8/5/1996	84	44.99
8/12/1996	85	45.48
8/19/1996	86	44.87
8/26/1996	87	42.42
9/3/1996	88	39.49
9/9/1996	89	40.59
9/16/1996	90	39
9/23/1996	91	42.61
9/30/1996	92	37.78
10/7/1996	93	40.47
10/14/1996	94	36.19
10/21/1996	95	36.43
10/28/1996	96	39.25
11/4/1996	97	41.57
11/11/1996	98	42.79
11/18/1996	99	40.83
11/25/1996	100	41.08
12/2/1996	101	39.61
12/9/1996	102	38.63
