Y,X2,X3,X4,X5
8.01,4.89,5.52,487.67,0
9.06,4.83,5.05,490.59,1
10.31,4.68,5.41,533.55,2
11.76,4.42,6.16,576.57,3
12.43,4.36,6.26,598.62,4
13.31,4.55,6.34,621.77,5
13.1,4.66,6.81,613.67,6
14.94,4.54,7.15,654.8,7
16.17,4.44,7.17,668.84,8
14.71,4.75,6.71,681.02,9
13.2,4.56,7.05,679.53,10
13.19,4.29,7.04,720.53,11
11.7,4.19,7.18,736.86,12
10.99,4.17,7.33,755.34,13
10.8,4.11,7.54,799.15,14
10.66,4.04,7.61,830.7,15
10.75,3.96,7.8,874.29,16
9.47,3.85,8.3,925.86,17
10.31,3.75,8.81,980.98,18
8.88,3.69,8.66,1007.72,19
8.88,3.56,8.78,1051.83,20
9.7,3.56,9.18,1078.76,21
7.69,3.48,9.03,1075.31,22
6.92,3.53,9.0,1107.48,23
7.54,3.39,8.78,1171.1,24
7.47,3.68,8.38,1234.97,25
8.63,5.92,8.01,1217.81,26
9.21,6.03,7.78,1202.36,27
9.23,6.12,7.88,1271.01,28
9.96,6.05,7.88,1332.67,29
10.78,5.89,8.67,1385.1,30
