x	y
1	97.58776
2	97.76344
3	96.56705
4	92.52037
5	91.15097
6	95.21728
7	90.21355
8	89.29235
9	91.51479
10	89.60966
11	86.56187
12	85.55316
13	87.13054
14	85.6794
15	80.04851
16	82.18925
17	87.24081
18	80.79407
19	81.2857
20	81.5694
21	79.22715
22	79.43275
23	77.90195
24	76.75468
25	77.17377
26	74.27348
27	73.119
28	73.84826
29	72.4787
30	71.92292
31	66.92176
32	67.93835
33	69.56207
34	69.07066
35	66.53983
36	63.87883
37	69.71537
38	63.60588
39	63.37154
40	60.01835
41	62.67481
42	65.80666
43	59.14304
44	56.62951
45	61.21785
46	54.3879
47	62.93443
48	56.65144
49	57.13362
50	58.29689
51	58.91744
52	58.50172
53	55.22885
54	58.30375
55	57.43237
56	51.69407
57	49.93132
58	53.7076
59	55.39712
60	52.89709
61	52.31649
62	53.9872
63	53.54158
64	56.45046
65	51.32276
66	53.11676
67	53.28631
68	49.80555
69	54.69564
70	56.41627
71	54.59362
72	54.3852
73	60.15354
74	59.78773
75	60.49995
76	65.43885
77	60.70001
78	63.71865
79	67.77139
80	64.70934
81	70.78193
82	70.38651
83	77.22359
84	79.52665
85	80.13077
86	85.67823
87	85.20647
88	90.24548
89	93.61953
90	95.86509
91	93.46992
92	105.8137
93	107.8269
94	114.0607
95	115.5019
96	118.511
97	119.6177
98	122.194
99	126.9903
100	125.7005
101	123.7447
102	130.6543
103	129.7168
104	131.824
105	131.8759
106	131.9994
107	132.1221
108	133.4414
109	133.8252
110	133.6695
111	128.2851
112	126.5182
113	124.755
114	118.4016
115	122.0334
116	115.2059
117	118.7856
118	110.7387
119	110.2003
120	105.1729
121	103.4472
122	94.5428
123	94.40526
124	94.57964
125	88.76605
126	87.28747
127	92.50443
128	86.27997
129	82.44307
130	80.47367
131	78.36608
132	78.74307
133	76.12786
134	79.13108
135	76.76062
136	77.60769
137	77.76633
138	81.2822
139	79.74307
140	81.97964
141	80.02952
142	85.95232
143	85.96838
144	79.94789
145	87.17023
146	90.50992
147	93.23373
148	89.14803
149	93.11492
150	90.34337
151	93.69421
152	95.74256
153	91.85105
154	96.74503
155	87.60996
156	90.47012
157	88.1169
158	85.70673
159	85.01361
160	78.5304
161	81.34148
162	75.19295
163	72.66115
164	69.85504
165	66.29476
166	63.58502
167	58.33847
168	57.50766
169	52.80498
170	50.79319
171	47.0349
172	46.4709
173	43.09016
174	34.11531
175	39.28235
176	32.68386
177	30.44056
178	31.98932
179	23.6333
180	23.69643
181	20.26812
182	19.07074
183	17.59544
184	16.08785
185	18.94267
186	18.61354
187	17.258
188	16.62285
189	13.48367
190	15.37647
191	13.47208
192	15.96188
193	12.32547
194	16.3388
195	10.43833
196	9.628715
197	13.12268
198	8.772417
199	11.76143
200	12.5502
201	11.33108
202	11.20493
203	7.816916
204	6.800675
205	14.26581
206	10.66285
207	8.911574
208	11.56733
209	11.58207
210	11.59071
211	9.730134
212	11.44237
213	11.22912
214	10.17213
215	12.50905
216	6.201493
217	9.019605
218	10.80607
219	13.09625
220	3.914271
221	9.567886
222	8.038448
223	10.23104
224	9.36741
225	7.695971
226	6.118575
227	8.793207
228	7.796692
229	12.45065
230	10.61601
231	6.001003
232	6.765098
233	8.764653
234	4.586418
235	8.390783
236	7.209202
237	10.01209
238	7.327461
239	6.525136
240	2.840065
241	10.32371
242	4.790035
243	8.376431
244	6.26398
245	2.705892
246	8.362109
247	8.983507
248	3.362469
249	1.182678
250	4.875312
