EDAD	H_ACTIVOS	H_INV	M_ACTIVOS	M_INV
0	1	1	1	1
1	1	1	1	1
2	1	1	1	1
3	1	1	1	1
4	1	1	1	1
5	1	1	1	1
6	1	1	1	1
7	1	1	1	1
8	1	1	1	1
9	1	1	1	1
10	1	1	1	1
11	1	1	1	1
12	1	1	1	1
13	1	1	1	1
14	1	1	1	1
15	0.99957	0.99684	0.99985	0.99931
16	0.99954	0.99684	0.99985	0.99931
17	0.99951	0.99684	0.99984	0.99931
18	0.99947	0.99684	0.99983	0.99928
19	0.99942	0.99684	0.99982	0.9992
20	0.99937	0.99684	0.99981	0.99908
21	0.99931	0.99684	0.99979	0.99892
22	0.99924	0.9968	0.99978	0.99873
23	0.99917	0.99666	0.99976	0.99851
24	0.9991	0.99642	0.99975	0.99826
25	0.99903	0.99611	0.99974	0.99798
26	0.99894	0.99572	0.99973	0.99769
27	0.99886	0.99526	0.99972	0.99738
28	0.99877	0.99476	0.9997	0.99706
29	0.99868	0.99421	0.99969	0.99672
30	0.99859	0.99363	0.99967	0.99638
31	0.99849	0.99302	0.99965	0.99603
32	0.99839	0.99238	0.99962	0.99567
33	0.99828	0.99174	0.99959	0.99531
34	0.99817	0.99108	0.99956	0.99494
35	0.99806	0.99042	0.99952	0.99457
36	0.99794	0.98976	0.99947	0.9942
37	0.99781	0.9891	0.9994	0.99382
38	0.99768	0.98845	0.99933	0.99344
39	0.99754	0.9878	0.99925	0.99305
40	0.99739	0.98717	0.99915	0.99266
41	0.99724	0.98656	0.99905	0.99227
42	0.99707	0.98595	0.99893	0.99187
43	0.99689	0.98536	0.99881	0.99145
44	0.9967	0.98478	0.99866	0.99103
45	0.99649	0.98421	0.99851	0.9906
46	0.99626	0.98365	0.99834	0.99015
47	0.99601	0.9831	0.99815	0.98968
48	0.99574	0.98255	0.99794	0.98919
49	0.99544	0.982	0.99771	0.98868
50	0.99511	0.98145	0.99746	0.98813
51	0.99475	0.98088	0.99719	0.98756
52	0.99435	0.9803	0.9969	0.98695
53	0.99391	0.9797	0.99657	0.98629
54	0.99342	0.97907	0.99622	0.9856
55	0.99288	0.97841	0.99583	0.98485
56	0.99228	0.9777	0.99541	0.98404
57	0.99161	0.97694	0.99495	0.98317
58	0.99088	0.97611	0.99445	0.98224
59	0.99006	0.97522	0.9939	0.98123
60	0.98915	0.97424	0.99328	0.98014
61	0.98814	0.97317	0.9926	0.97897
62	0.98702	0.97199	0.99185	0.9777
63	0.98578	0.97069	0.99101	0.97632
64	0.9844	0.96926	0.99009	0.97484
65	0.98287	0.96768	0.98908	0.97324
66	0.98117	0.96595	0.98795	0.97152
67	0.97929	0.96404	0.98671	0.96966
68	0.97721	0.96194	0.98533	0.96766
69	0.9749	0.95963	0.98381	0.96551
70	0.97235	0.9571	0.98213	0.9632
71	0.96952	0.95433	0.98028	0.96071
72	0.96639	0.9513	0.97823	0.95805
73	0.96293	0.94799	0.97598	0.95519
74	0.95912	0.94438	0.97348	0.95214
75	0.95491	0.94045	0.97074	0.94887
76	0.95027	0.93619	0.96772	0.94538
77	0.94516	0.93156	0.96439	0.94165
78	0.93954	0.92656	0.96073	0.93768
79	0.93336	0.92115	0.9567	0.93345
80	0.92659	0.91531	0.95228	0.92895
81	0.91917	0.90903	0.94744	0.92417
82	0.91105	0.90226	0.94213	0.91909
83	0.90219	0.895	0.93632	0.9137
84	0.89253	0.88721	0.92997	0.908
85	0.88211	0.87887	0.923	0.90195
86	0.8709	0.86995	0.91536	0.89556
87	0.85886	0.86042	0.90697	0.88881
88	0.84597	0.85026	0.89779	0.88167
89	0.8322	0.83943	0.88774	0.87415
90	0.81753	0.82791	0.87675	0.86621
91	0.80194	0.81567	0.86474	0.85786
92	0.78543	0.80267	0.85165	0.84906
93	0.76799	0.78889	0.83738	0.83981
94	0.74962	0.77429	0.82185	0.83009
95	0.73034	0.75884	0.805	0.81988
96	0.71017	0.74251	0.78673	0.80917
97	0.68914	0.72526	0.76697	0.79794
98	0.66727	0.70706	0.74565	0.78617
99	0.64464	0.68788	0.72272	0.77384
100	0.62129	0.66767	0.69812	0.76094
101	0.59729	0	0.67182	0
102	0.57272	0	0.64381	0
103	0.54767	0	0.61411	0
104	0.52225	0	0.58277	0
105	0.49654	0	0.54986	0
106	0.47067	0	0.5155	0
107	0.44475	0	0.47988	0
108	0.41889	0	0.44321	0
109	0.39323	0	0.40577	0
110	0	0	0	0
