Period,DATV
Jan-93,135261
Feb-93,134941
Mar-93,138334
Apr-93,125305
May-93,152261
Jun-93,147189
Jul-93,158543
Aug-93,140774
Sep-93,149461
Oct-93,146753
Nov-93,154737
Dec-93,126881
Jan-94,179037
Feb-94,221238
Mar-94,223290
Apr-94,196313
May-94,233480
Jun-94,182627
Jul-94,164405
Aug-94,194685
Sep-94,192242
Oct-94,205743
Nov-94,210203
Dec-94,186902
Jan-95,207942
Feb-95,210753
Mar-95,212739
Apr-95,172033
May-95,218923
Jun-95,200978
Jul-95,143378
Aug-95,156116
Sep-95,154824
Oct-95,168800
Nov-95,175198
Dec-95,134200
Jan-96,179553
Feb-96,202155
Mar-96,169916
Apr-96,162246
May-96,161174
Jun-96,159676
Jul-96,171820
Aug-96,192522
Sep-96,197385
Oct-96,226337
Nov-96,164639
Dec-96,131908
Jan-97,217012
Feb-97,202711
Mar-97,195866
Apr-97,214563
May-97,221168
Jun-97,206094
Jul-97,195493
Aug-97,171412
Sep-97,215496
Oct-97,317922
Nov-97,180329
Dec-97,136480
Jan-98,238271
Feb-98,192845
Mar-98,174613
Apr-98,195709
May-98,174548
Jun-98,198509
Jul-98,167367
Aug-98,301038
Sep-98,338646
Oct-98,298542
Nov-98,236806
Dec-98,158850
Jan-99,208903
Feb-99,223215
Mar-99,205553
Apr-99,185779
May-99,216479
Jun-99,213297
Jul-99,158744
Aug-99,180135
Sep-99,159430
Oct-99,163260
Nov-99,165782
Dec-99,114817
Jan-00,213094
Feb-00,189382
Mar-00,165552
Apr-00,204334
May-00,227324
Jun-00,180210
Jul-00,172690
Aug-00,152780
Sep-00,173049
Oct-00,166951
Nov-00,186440
Dec-00,238580
Jan-01,348859
Feb-01,333637
Mar-01,350386
Apr-01,436978
May-01,426568
Jun-01,431290
Jul-01,432567
Aug-01,517262
Sep-01,790593
Oct-01,560444
Nov-01,769953
Dec-01,483552
Jan-02,736107
Feb-02,477942
Mar-02,509987
Apr-02,525960
May-02,539467
Jun-02,640511
Jul-02,694401
Aug-02,657005
Sep-02,674682
Oct-02,776997
Nov-02,658559
Dec-02,428866
Jan-03,657665
Feb-03,773714
Mar-03,963026
Apr-03,789466
May-03,1103885
Jun-03,1199622
Jul-03,758017
Aug-03,740821
Sep-03,799491
Oct-03,715111
Nov-03,604291
Dec-03,628208
Jan-04,993154
Feb-04,1030768
Mar-04,1253836
Apr-04,1231852
May-04,1127995
Jun-04,1058608
Jul-04,1035816
Aug-04,885169
Sep-04,1039522
Oct-04,1010431
Nov-04,961387
Dec-04,679456
Jan-05,1189892
Feb-05,1275780
Mar-05,1371296
Apr-05,1486152
May-05,1158911
Jun-05,1426353
Jul-05,1224930
Aug-05,1187868
Sep-05,1638503
Oct-05,1355615
Nov-05,1364875
Dec-05,927841
Jan-06,1553722
Feb-06,1863094
Mar-06,1893976
Apr-06,2238913
May-06,1595015
Jun-06,2238277
Jul-06,1695327
Aug-06,1783337
Sep-06,1872851
Oct-06,1640764
Nov-06,1454818
Dec-06,1470402
Jan-07,1907899
Feb-07,1799783
Mar-07,2073441
Apr-07,1654593
May-07,1983795
Jun-07,2214280
Jul-07,1882188
Aug-07,3725273
Sep-07,2831523
Oct-07,2034121
Nov-07,2211828
Dec-07,1564059
Jan-08,3475355
Feb-08,2479165
Mar-08,2354378
Apr-08,2674055
May-08,1707816
Jun-08,1979369
Jul-08,1537911
Aug-08,1385999
Sep-08,2359676
Oct-08,2305323
Nov-08,1626536
Dec-08,1103148
Jan-09,1917159
Feb-09,1466861
Mar-09,1751928
Apr-09,1486109
May-09,1932838
Jun-09,2092215
Jul-09,1346857
Aug-09,1668030
Sep-09,1926366
Oct-09,1548308
Nov-09,1924941
Dec-09,1527776
Jan-10,2170542
Feb-10,2209734
Mar-10,2246942
Apr-10,2156920
May-10,2850766
Jun-10,1463480
Jul-10,1605247
Aug-10,1440173
Sep-10,1649967
Oct-10,1588063
Nov-10,1650875
Dec-10,1264882
Jan-11,1750462
Feb-11,2201068
Mar-11,1963008
Apr-11,1598559
May-11,1789580
Jun-11,1701238
Jul-11,1524122
Aug-11,2585352
Sep-11,2296791
Oct-11,1624930
Nov-11,1955991
Dec-11,1044916
Jan-12,1736280
Feb-12,1387515
Mar-12,1525431
Apr-12,1132161
May-12,1487122
Jun-12,1288784
Jul-12,1426484
Aug-12,900208
Sep-12,1069380
Oct-12,876836
Nov-12,903881
Dec-12,775318
Jan-13,1689856
Feb-13,1486916
Mar-13,1374867
Apr-13,1098763
May-13,1585195
Jun-13,1985587
Jul-13,1232549
Aug-13,1152511
Sep-13,1442842
Oct-13,1214220
Nov-13,1233402
Dec-13,1257575
Jan-14,1572329
Feb-14,1345383
Mar-14,1465545
Apr-14,1193025
May-14,1448372
Jun-14,1478373
Jul-14,1037760
Aug-14,1085157
Sep-14,1695746
Oct-14,1614355
Nov-14,765408
Dec-14,1063401
Jan-15,1315731
Feb-15,1290080
Mar-15,1224969
Apr-15,1020705
May-15,994111
Jun-15,1276144
Jul-15,1145054
Aug-15,1204547
Sep-15,1222070
Oct-15,1545132
Nov-15,1563773
Dec-15,1540541
Jan-16,2373272
Feb-16,2000374
Mar-16,1322292
Apr-16,1112631
May-16,1252596
Jun-16,1500878
Jul-16,1574110
Aug-16,1042784
Sep-16,1135305
